trial,genotype,yld
SS92a,G025,442
SS92a,G026,342.3
SS92a,G027,275.8
SS92a,G028,570
SS92a,G029,271.1
SS92a,G030,364.5
SS92a,G031,335.7
SS92a,G032,523.4
SS92a,G033,174.7
SS92a,G034,526.4
SS92a,G035,262.7
SS92a,G036,468.3
SS92a,G037,411.9
SS92a,G038,180
SS92a,G039,501.4
SS92a,G040,398.1
SS92a,G041,490.1
SS92a,G042,500.7
SS92a,G043,378.1
SS92a,G044,314.6
SS92a,G045,401.5
SS92a,G046,273
SS92a,G047,403.9
SS92a,G048,300.9
SS92a,G049,396.6
SS92a,G050,599.5
SS92a,G051,383.9
SS92a,G052,304.8
SS92a,G053,380.5
SS92a,G054,282.2
SS92a,G055,455.2
SS92a,G056,453.9
SS92a,G057,314.3
SS92a,G058,582.8
SS92a,G059,356.8
SS92a,G060,272.8
SS92a,G061,279.4
SS92a,G062,384.7
SS92a,G063,492.2
SS92a,G064,334
SS92a,G065,330
SS92a,G066,355.4
SS92a,G067,533
SS92a,G068,628.9
SS92a,G069,488.9
SS92a,G070,299.9
SS92a,G071,213.6
SS92a,G072,389.9
SS92a,G073,173.6
SS92a,G074,231.3
SS92a,G075,273.4
SS92a,G076,323.8
SS92a,G077,502.9
SS92a,G078,373.2
SS92a,G079,289.8
SS92a,G080,390.8
SS92a,G081,444.9
SS92a,G082,313.3
SS92a,G083,309.6
SS92a,G084,182.2
SS92a,G085,658.5
SS92a,G086,534.7
SS92a,G087,448.8
SS92a,G088,439.8
SS92a,G089,573.3
SS92a,G090,209.9
SS92a,G091,482
SS92a,G092,329.5
SS92a,G093,351.9
SS92a,G094,527.6
SS92a,G095,244.7
SS92a,G096,174.5
SS92a,G097,226.2
SS92a,G098,223
SS92a,G099,419
SS92a,G100,405.8
SS92a,G101,257.9
SS92a,G102,374.4
SS92a,G103,393.6
SS92a,G104,543.6
SS92a,G105,271.8
SS92a,G106,514.3
SS92a,G107,317.4
SS92a,G108,446.6
SS92a,G109,369.9
SS92a,G110,339.3
SS92a,G111,122.7
SS92a,G112,269.6
SS92a,G113,173.5
SS92a,G114,223.4
SS92a,G115,439.5
SS92a,G116,336.6
SS92a,G117,329.9
SS92a,G118,90.02
SS92a,G119,308.3
SS92a,G120,219.1
SS92a,G121,630.7
SS92a,G122,258.2
SS92a,G123,459.1
SS92a,G124,263.4
SS92a,G125,354.2
SS92a,G126,46.63
SS92a,G127,552.8
SS92a,G128,295.4
SS92a,G129,688.8
SS92a,G130,437.5
SS92a,G131,351.3
SS92a,G132,309.2
SS92a,G133,125.8
SS92a,G134,223.9
SS92a,G135,589.1
SS92a,G136,220.9
SS92a,G137,342.6
SS92a,G138,284.8
SS92a,G139,270.7
SS92a,G140,246.2
SS92a,G141,359.5
SS92a,G142,592
SS92a,G143,259.2
SS92a,G144,562.7
SS92a,G145,424.9
SS92a,G146,331.1
SS92a,G147,284.5
SS92a,G148,295.1
SS92a,G149,438.2
SS92a,G150,172.1
SS92a,G151,346.7
SS92a,G152,564.8
SS92a,G153,194.6
SS92a,G154,414.3
SS92a,G155,535.1
SS92a,G156,594.9
SS92a,G157,462.3
SS92a,G158,345.2
SS92a,G159,478.4
SS92a,G160,573.2
SS92a,G161,575
SS92a,G162,644.6
SS92a,G163,371
SS92a,G164,331.4
SS92a,G165,316.1
SS92a,G166,546.8
SS92a,G167,525.8
SS92a,G168,443.7
SS92a,G169,295.3
SS92a,G170,324
SS92a,G171,263.3
SS92a,G172,210.9
SS92a,G173,291.2
SS92a,G174,179.2
SS92a,G175,348.2
SS92a,G176,549.4
SS92a,G177,440.7
SS92a,G178,500.4
SS92a,G179,169
SS92a,G180,167.2
SS92a,G181,315.9
SS92a,G182,318.9
SS92a,G183,246.1
SS92a,G184,267.2
SS92a,G185,451
SS92a,G186,803.9
SS92a,G187,414.1
SS92a,G188,301.2
SS92a,G189,279.9
SS92a,G190,390.8
SS92a,G191,376.4
SS92a,G192,580.9
SS92a,G193,346.4
SS92a,G194,344.4
SS92a,G195,483.7
SS92a,G196,321.1
SS92a,G197,341.7
SS92a,G198,771.6
SS92a,G199,349.4
SS92a,G200,414.1
SS92a,G201,348.1
SS92a,G202,280
SS92a,G203,287.5
SS92a,G204,442.8
SS92a,G205,398.8
SS92a,G206,292.3
SS92a,G207,278.9
SS92a,G208,310.4
SS92a,G209,438.8
SS92a,G210,252
SS92a,G211,143.5
SS94a,G001,447.6
SS94a,G002,331.5
SS94a,G003,363.2
SS94a,G004,224.4
SS94a,G005,260.7
SS94a,G006,400.7
SS94a,G007,326
SS94a,G008,416.5
SS94a,G009,305.7
SS94a,G010,556.7
SS94a,G011,301.7
SS94a,G012,241.5
SS94a,G013,591
SS94a,G014,398.1
SS94a,G015,358.1
SS94a,G016,182.2
SS94a,G017,277
SS94a,G018,479.8
SS94a,G019,740.4
SS94a,G020,312.5
SS94a,G021,273.5
SS94a,G022,495.3
SS94a,G023,307.3
SS94a,G024,259.8
SS94a,G025,652.6
SS94a,G026,248.4
SS94a,G027,372.4
SS94a,G028,886.7
SS94a,G029,368.7
SS94a,G030,630.9
SS94a,G031,503.6
SS94a,G032,385.5
SS94a,G033,195.1
SS94a,G034,533.4
SS94a,G035,231.2
SS94a,G036,313.3
SS94a,G037,344.4
SS94a,G038,220.8
SS94a,G039,527.1
SS94a,G040,292.8
SS94a,G041,152.5
SS94a,G042,293.3
SS94a,G043,467.1
SS94a,G044,226.4
SS94a,G045,714.7
SS94a,G046,391.6
SS94a,G047,198.9
SS94a,G048,630.7
SS94a,G049,340.1
SS94a,G050,561.4
SS94a,G051,349.1
SS94a,G052,392.1
SS94a,G053,332.6
SS94a,G054,347.8
SS94a,G055,620.2
SS94a,G056,731.7
SS94a,G057,419.4
SS94a,G058,242.3
SS94a,G059,379.5
SS94a,G060,222.1
SS94a,G061,665
SS94a,G062,520.8
SS94a,G063,328.1
SS94a,G064,349.2
SS94a,G065,341.3
SS94a,G066,551
SS94a,G067,578.2
SS94a,G068,783.2
SS94a,G069,439.2
SS94a,G070,408.2
SS94a,G071,380.8
SS94a,G072,417.7
SS94a,G073,335.4
SS94a,G074,346.4
SS94a,G075,469.5
SS94a,G076,67.52
SS94a,G077,797.4
SS94a,G078,351.3
SS94a,G079,262.2
SS94a,G080,408.7
SS94a,G081,373.6
SS94a,G082,519.4
SS94a,G083,537.2
SS94a,G084,324.9
SS94a,G085,383
SS94a,G086,244.4
SS94a,G087,518.2
SS94a,G088,266.9
SS94a,G089,344.1
SS94a,G090,335.1
SS94a,G091,349
SS94a,G092,217.8
SS94a,G093,290.5
SS94a,G094,521.2
SS94a,G095,354.2
SS94a,G096,385.9
SS94a,G097,341.5
SS94a,G098,311.8
SS94a,G099,454.8
SS94a,G100,694.9
SS94a,G101,356.3
SS94a,G102,161.3
SS94a,G103,317.8
SS94a,G104,322.5
SS94a,G105,482.1
SS94a,G106,732.2
SS94a,G107,338.7
SS94a,G108,524.3
SS94a,G109,599.6
SS94a,G110,589.1
SS94a,G111,369.2
SS94a,G112,303.3
SS94a,G113,128.6
SS94a,G114,519.8
SS94a,G115,443.2
SS94a,G116,555.9
SS94a,G117,407.7
SS94a,G118,207.6
SS94a,G119,307.9
SS94a,G120,418.7
SS94a,G121,510.2
SS94a,G122,520.4
SS94a,G123,779.9
SS94a,G124,408
SS94a,G125,351.6
SS94a,G126,240.7
SS94a,G127,629.2
SS94a,G128,324.8
SS94a,G129,519
SS94a,G130,564
SS94a,G131,609.3
SS94a,G132,459.3
SS94a,G133,195.4
SS94a,G134,376.2
SS94a,G135,547.2
SS94a,G136,433.8
SS94a,G137,400
SS94a,G138,362.3
SS94a,G139,258.7
SS94a,G140,293.6
SS94a,G141,478.4
SS94a,G142,446.9
SS94a,G143,186.6
SS94a,G144,566
SS94a,G145,235.2
SS94a,G146,520.7
SS94a,G147,215.2
SS94a,G148,188.8
SS94a,G149,346.9
SS94a,G150,179.5
SS94a,G151,484
SS94a,G152,596.7
SS94a,G153,320.5
SS94a,G154,564.9
SS94a,G155,561.4
SS94a,G156,507.1
SS94a,G157,285.6
SS94a,G158,542.3
SS94a,G159,584.2
SS94a,G160,667
SS94a,G161,627.7
SS94a,G162,571.3
SS94a,G163,415.2
SS94a,G164,432.6
SS94a,G165,458.1
SS94a,G166,560.3
SS94a,G167,417.9
SS94a,G168,632.7
SS94a,G169,179.6
SS94a,G170,387
SS94a,G171,316.9
SS94a,G172,572.8
SS94a,G173,235.9
SS94a,G174,150.5
SS94a,G175,398.7
SS94a,G176,542.7
SS94a,G177,360.8
SS94a,G178,323.8
SS94a,G179,243.6
SS94a,G180,222.2
SS94a,G181,483.3
SS94a,G182,615.2
SS94a,G183,444
SS94a,G184,482
SS94a,G185,324
SS94a,G186,592.9
SS94a,G187,581.7
SS94a,G188,309.3
SS94a,G189,383.2
SS94a,G190,405.4
SS94a,G191,197.4
SS94a,G192,639
SS94a,G193,510.7
SS94a,G194,462.3
SS94a,G195,495.7
SS94a,G196,359
SS94a,G197,338.4
SS94a,G198,262.6
SS94a,G199,273.1
SS94a,G200,689.8
SS94a,G201,423.8
SS94a,G202,431.1
SS94a,G203,378.4
SS94a,G204,459.2
SS94a,G205,320.4
SS94a,G206,719.5
SS94a,G207,446.7
SS94a,G208,600
SS94a,G209,436.8
SS94a,G210,414.6
SS94a,G211,228.9
